sample_id,input_type,bam_path,fastq_r1,fastq_r2,species,population,region,reef_site,lat,lon
Oann_21,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_21.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.99305,-80.4607833333
Oann_23,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_23.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.9879,-80.4636333333
Oann_33,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_33.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.992266,-80.4637666667
Oann_4,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_4.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Upper Keys,Patch reefs off Key Largo,24.988716,-80.46755
Oann_50,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_50_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_50_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_51,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_51_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_51_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_52,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_52_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_52_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_53,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_53_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_53_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_54,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_54_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_54_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_55,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_55_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_55_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_56,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_56_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_56_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
Oann_57,local_bam,/projects/vollmer/RR_heat-tolerance/Orbicella/2_mapping.bwa/Oann_57.bwa.dedup.clip.bam,,,Oannularis,FL_RR,Upper Keys,Triangles,25.0168667,-80.4258167
Oann_58,local,,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_58_CKDL250017111-1A_22V3V2LT4_L2_1.fq.gz,/work/vollmer/sequencing_archive/250625_ReefRenewal-FL_Orbicella_WGS/01.RawData/Oann_58_CKDL250017111-1A_22V3V2LT4_L2_2.fq.gz,Oannularis,FL_RR,FL,RR,,
